"";"ProbeNr";"Datum der Entnahme";"Uhrzeit der Entnahme";"Probe Valide";"Kläranlagen-ID";"Name der Kläranlage";"Probenbegleitschein vollständig";"Genkopien im Durchschnitt (Gq/ml)";"Genkopien N1/ml";"Genkopien N2/ml";"Anteil Genkopien Durchschnitt zu PMMoV x100.000";"Probennahme (Anfangs )Zeit";"Probennahme (End )Zeit";"Probennahmeart";"Probenvolumen (ml)";"Gesamt-Volumen (Liter) der Mischprobe vor Abfüllung (geschätzt)";"Temperatur des Rohabwassers (Grad Celsius)";"Leitfähigkeit des Rohabwassers (uS/cm)";"pH-Wert des Rohabwassers";"NH4-Konzentration";"Volumenstrom (m3/d)";"Niederschläge am Vortag der Probenentnahme (mm)";"Niederschläge am Probenentnahmetag (mm)";"Lufttemperatur am Probenentnahmetag (Grad Celsius)";"Chemischer Sauerstoffbedarf CSB (mg/l)";"Total Organic Carbon TOC (mg/l)"
"1";24405;2022-10-06;" 08:00:00";" ja";22448;" Trier";" ja";" 178";" 132";" 224";" 86.4";2022-10-05 08:00:00;2022-10-06 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 1232";" 7.6";" 62.8";" 18477";" 0";" 0";" 13.86";" 860";" 214"
"2";24406;2022-10-04;" 08:00:00";" ja";22448;" Trier";" ja";" 56.5";" 29";" 84";" 48.3";2022-10-03 08:00:00;2022-10-04 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 901";" 7.5";" 35.1";" 31453";" 15";" 0";" 9.57";" 506";" 108"
"3";24407;2022-10-06;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 111";" 58";" 164";" 391";2022-10-05 00:00:00;2022-10-05 23:59:00;" MP";" 1000";" 2.5";" 18.9";" 1.4";" 7.67";" nicht messbar";" 15070";" 0";" 0";" 13.2";" nicht messbar";" nicht messbar"
"4";24408;2022-10-04;" 08:00:00";" ja";20027;" Bad Kreuznach";" ja";" 137";" 123";" 151";" 61.7";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 4";" 17.9";" 1.1";" 7.75";" 26.5";" 20450";" 0";" 0";" nicht messbar";" 178";" 197"
"5";24409;2022-10-05;" 00:00:00";" ja";22425;" Germersheim";" ja";" 33";" 4";" 62";" 12.4";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 100";" 24";" 20.4";" 126.5";" 7.43";" 72.5";" nicht messbar";" 0";" 0";" 14.1";" 607";" nicht messbar"
"6";24410;2022-10-03;" 00:00:00";" ja";22425;" Germersheim";" ja";" 48.5";" 5";" 92";" 17";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 100";" 24";" 18.1";" 115";" 7.8";" 40.8";" nicht messbar";" 23";" 0";" 11.6";" 524";" nicht messbar"
"7";24411;2022-10-03;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 153.5";" 64";" 243";" 84.8";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 5";" 16";" 1024";" 7.7";" nicht messbar";" 76032";" 28";" 0";" nicht messbar";" 233";" 69.6"
"8";24412;2022-10-03;" 00:00:00";" ja";22431;" Koblenz";" ja";" 110.5";" 77";" 144";" 22.1";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 6";" 16.3";" 1300";" 8";" 33.8";" 22916";" 3";" 0";" 12.1";" 480";" 140"
"9";24413;2022-10-05;" 00:00:00";" ja";22431;" Koblenz";" ja";" 156.5";" 126";" 187";" 71.1";2022-10-05 00:00:00;2022-10-05 23:59:00;" MP";" 1000";" 6";" 17.1";" 1200";" 7.9";" 45.5";" 26244";" 0";" 0";" 15";" 639";" 201"
"10";24414;2022-10-10;" 00:00:00";" ja";22431;" Koblenz";" ja";" 374";" 316";" 432";" 202";2022-10-10 00:00:00;2022-10-10 00:00:00;" MP";" 1000";" 5";" 16.8";" 1500";" 7.8";" 52.2";" 29476";" 0";" 1";" 12.7";" 842";" 235"
"11";24415;2022-10-06;" 08:00:00";" ja";22438;" Landau";" ja";" 115.5";" 97";" 134";" 63.5";2022-10-05 08:00:00;2022-10-06 08:00:00;" MP";" 1000";" nicht messbar";" 18";" nicht messbar";" 7.8";" 34.7";" 12712";" nicht messbar";" nicht messbar";" 17";" 799";" nicht messbar"
"12";24416;2022-10-04;" 08:00:00";" ja";22438;" Landau";" ja";" 145";" 103";" 187";" 86.3";2022-10-03 08:00:00;2022-10-04 08:00:00;" EP";" 1000";" nicht messbar";" 17.3";" nicht messbar";" 7.8";" 40.9";" 30281";" nicht messbar";" nicht messbar";" nicht messbar";" 711";" nicht messbar"
"13";24417;2022-10-04;" 07:15:00";" ja";22439;" Mainz";" ja";" 132.5";" 79";" 186";" 44";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 9";" 6.5";" 1277";" 7.24";" 47";" 59827";" nicht messbar";" nicht messbar";" 11";" 530";" 180"
"14";24418;2022-10-03;" 00:00:00";" ja";22447;" Montabaur, GKA";" ja";" 349.5";" 215";" 484";" 238";2022-10-03 00:00:00;2022-10-03 23:59:00;" MP";" 1000";" 7";" 6.4";" 155";" 7.7";" 19.1";" 11410";" 3";" 0";" nicht messbar";" 273";" 54"
"15";24419;2022-10-06;" 00:00:00";" ja";22447;" Montabaur, GKA";" ja";" 137.5";" 90";" 185";" 135";2022-10-05 00:00:00;2022-10-05 23:59:00;" MP";" 1000";" 7";" 5.8";" 117";" 7.6";" 25.7";" 8040";" 0";" 0";" nicht messbar";" 451";" 102"
"16";24420;2022-10-06;" 08:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 226.5";" 161";" 292";" 88.8";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 1000";" 17";" 16.2";" 890";" 7.5";" 34.1";" 6240";" 0";" 0";" 13.7";" 591";" 166"
"17";24421;2022-10-04;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 298";" 231";" 365";" 123";2022-10-03 00:00:00;2022-10-04 00:00:00;" MP";" 1000";" 20";" 15.9";" 850";" 7.8";" 12.8";" 18500";" 0";" 0";" 12.3";" 220";" 59.5"
"18";24422;2022-10-04;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 217.5";" 88";" 347";" 64.2";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 2000";" 8";" 15";" 600";" 8.2";" 20.7";" 7750";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"19";24423;2022-10-06;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 275";" 165";" 385";" 95.2";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 2000";" 7";" 15";" 824";" 7.6";" 30.5";" nicht messbar";" 0";" 0";" 12.3";" 266";" 80.9"
"20";24424;2022-10-03;" 00:00:00";" ja";23128;" Speyer";" ja";" 86";" 61";" 111";" 89.6";2022-10-03 00:00:00;2022-10-03 00:00:00;" MP";" 1000";" 6";" 18.1";" 115";" 7.8";" 40.8";" 24592";" 21";" 0";" 12.9";" 524";" nicht messbar"
"21";24425;2022-10-05;" 00:00:00";" ja";23128;" Speyer";" ja";" 132";" 110";" 154";" 24.8";2022-10-05 00:00:00;2022-10-05 00:00:00;" MP";" 1000";" 3";" 5.2";" 2090";" 8.13";" 58.3";" 11711";" 0";" 0";" 14.2";" 569";" nicht messbar"
