Meldedatum,Einzug_KA_Salierweg,N,N_7d
2022-03-07,Nord,208,1355.0
2022-03-07,Süd,284,1665.0
2022-03-08,Nord,292,1647.0
2022-03-08,Süd,320,1985.0
2022-03-09,Nord,289,1780.0
2022-03-09,Süd,292,2067.0
2022-03-10,Nord,296,1857.0
2022-03-10,Süd,296,2143.0
2022-03-11,Nord,267,1826.0
2022-03-11,Süd,270,2055.0
2022-03-12,Nord,154,1709.0
2022-03-12,Süd,112,1842.0
2022-03-13,Nord,36,1561.0
2022-03-13,Süd,49,1663.0
2022-03-14,Nord,264,1806.0
2022-03-14,Süd,321,1944.0
2022-03-15,Nord,302,1900.0
2022-03-15,Süd,306,1966.0
2022-03-16,Nord,328,1936.0
2022-03-16,Süd,340,1986.0
2022-03-17,Nord,315,1962.0
2022-03-17,Süd,348,2042.0
2022-03-18,Nord,224,1890.0
2022-03-18,Süd,269,2015.0
2022-03-19,Nord,142,1765.0
2022-03-19,Süd,88,1833.0
2022-03-20,Nord,7,1618.0
2022-03-20,Süd,24,1745.0
2022-03-21,Nord,233,1815.0
2022-03-21,Süd,311,2007.0
2022-03-22,Nord,283,1834.0
2022-03-22,Süd,272,1958.0
2022-03-23,Nord,263,1795.0
2022-03-23,Süd,255,1907.0
2022-03-24,Nord,266,1733.0
2022-03-24,Süd,290,1857.0
2022-03-25,Nord,198,1616.0
2022-03-25,Süd,191,1700.0
2022-03-26,Nord,153,1545.0
2022-03-26,Süd,146,1577.0
2022-03-27,Nord,10,1413.0
2022-03-27,Süd,5,1494.0
2022-03-28,Nord,185,1591.0
2022-03-28,Süd,210,1680.0
2022-03-29,Nord,273,1631.0
2022-03-29,Süd,232,1601.0
2022-03-30,Nord,182,1530.0
2022-03-30,Süd,205,1534.0
2022-03-31,Nord,143,1410.0
2022-03-31,Süd,190,1469.0
2022-04-01,Nord,122,1266.0
2022-04-01,Süd,122,1301.0
2022-04-02,Nord,59,1127.0
2022-04-02,Süd,58,1168.0
2022-04-03,Nord,4,978.0
2022-04-03,Süd,2,1024.0
2022-04-04,Nord,146,1114.0
2022-04-04,Süd,165,1184.0
2022-04-05,Nord,157,1086.0
2022-04-05,Süd,164,1138.0
2022-04-06,Nord,152,965.0
2022-04-06,Süd,162,1068.0
2022-04-07,Nord,112,895.0
2022-04-07,Süd,146,1009.0
2022-04-08,Nord,82,834.0
2022-04-08,Süd,113,932.0
2022-04-09,Nord,71,783.0
2022-04-09,Süd,61,871.0
2022-04-10,Nord,1,725.0
2022-04-10,Süd,4,817.0
2022-04-11,Nord,102,823.0
2022-04-11,Süd,129,944.0
2022-04-12,Nord,121,798.0
2022-04-12,Süd,116,895.0
2022-04-13,Nord,105,746.0
2022-04-13,Süd,123,854.0
2022-04-14,Nord,112,706.0
2022-04-14,Süd,105,797.0
2022-04-15,Nord,2,596.0
2022-04-15,Süd,11,662.0
2022-04-16,Nord,67,581.0
2022-04-16,Süd,74,623.0
