Date,Town,Probenbegleitschein vollständig,Genkopien im Durchschnitt (Gq/ml),Genkopien N1/ml,Genkopien N2/ml,Anteil Genkopien Durchschnitt zu PMMoV x100.000,Volumenstrom (m3/d),Bevoelkerung,Faelle_gesamt,Faelle_neu,Faelle_7-Tage,Inzidenz_7-Tage,Valid test,Positive test,Newly positive test,Study phase,prevalence
2022-10-03,Kaiserslautern, ja,153.5,64.0,243.0,84.8,76032.0,108216.0,50177.0,0.0,1088.0,1005.4,,,,,
2022-10-03,Koblenz, ja,110.5,77.0,144.0,22.1,22916.0,115268.0,44123.0,86.0,888.0,770.4,,,,,
2022-10-03,Ludwigshafen,,,,,,,174265.0,61938.0,39.0,691.0,396.5,,,,,
2022-10-03,Mainz,,,,,,,220552.0,87132.0,0.0,1279.0,579.9,,,,,
2022-10-03,Trier,,,,,,,112195.0,37737.0,0.0,631.0,562.4,,,,,
2022-10-04,Kaiserslautern,,,,,,,108216.0,50177.0,0.0,859.0,793.8,,,,,
2022-10-04,Koblenz,,,,,,,115268.0,44239.0,116.0,821.0,712.3,,,,,
2022-10-04,Ludwigshafen,,,,,,,174265.0,61992.0,54.0,674.0,386.8,,,,,
2022-10-04,Mainz, ja,132.5,79.0,186.0,44.0,59827.0,220552.0,87132.0,0.0,1091.0,494.7,,,,,
2022-10-04,Trier, ja,56.5,29.0,84.0,48.3,31453.0,112195.0,37737.0,0.0,477.0,425.2,,,,,
2022-10-05,Kaiserslautern, ja,205.0,84.0,326.0,128.0,46963.0,108216.0,50535.0,358.0,975.0,901.0,,,,,
2022-10-05,Koblenz, ja,156.5,126.0,187.0,71.1,26244.0,115268.0,44457.0,218.0,924.0,801.6,,,,,
2022-10-05,Ludwigshafen,,,,,,,174265.0,62159.0,167.0,649.0,372.4,,,,,
2022-10-05,Mainz, ja,732.0,640.0,824.0,581.0,40115.0,220552.0,87339.0,207.0,1036.0,469.7,,,,,
2022-10-05,Trier,,,,,,,112195.0,37971.0,234.0,613.0,546.4,,,,,
2022-10-06,Kaiserslautern,,,,,,,108216.0,50956.0,421.0,1175.0,1085.8,,,,,
2022-10-06,Koblenz,,,,,,,115268.0,44642.0,185.0,935.0,811.2,,,,,
2022-10-06,Ludwigshafen,,,,,,,174265.0,62396.0,237.0,797.0,457.3,,,,,
2022-10-06,Mainz,,,,,,,220552.0,87682.0,343.0,1017.0,461.1,,,,,
2022-10-06,Trier, ja,178.0,132.0,224.0,86.4,18477.0,112195.0,38207.0,236.0,714.0,636.4,,,,,
2022-10-07,Kaiserslautern,,,,,,,108216.0,51282.0,326.0,1287.0,1189.3,,,,,
2022-10-07,Koblenz,,,,,,,115268.0,44866.0,224.0,1031.0,894.4,,,,,
2022-10-07,Ludwigshafen,,,,,,,174265.0,62632.0,236.0,916.0,525.6,,,,,
2022-10-07,Mainz,,,,,,,220552.0,88113.0,431.0,1175.0,532.8,,,,,
2022-10-07,Trier,,,,,,,112195.0,38387.0,180.0,752.0,670.3,,,,,
2022-10-08,Kaiserslautern,,,,,,,108216.0,51557.0,275.0,1380.0,1275.2,,,,,
2022-10-08,Koblenz,,,,,,,115268.0,45027.0,161.0,1048.0,909.2,,,,,
